Name	Category	Description	Included
jdk.UnsignedLongFlagChanged	{"Java Virtual Machine", "Flag"}		TRUE
jdk.ZPageAllocation	{"Java Virtual Machine", "GC", "Detailed"}	Allocation of a ZPage	TRUE
jdk.ZRelocationSet	{"Java Virtual Machine", "GC", "Detailed"}	ZGC Relocation Set	TRUE
jdk.ZRelocationSetGroup	{"Java Virtual Machine", "GC", "Detailed"}	ZGC Relocation Set Group	TRUE
jdk.ZThreadPhase	{"Java Virtual Machine", "GC", "Detailed"}	ZGC Thread Phase	TRUE
jdk.ZUncommit	{"Java Virtual Machine", "GC", "Detailed"}	Uncommitting of memory	TRUE
jdk.ZUnmap	{"Java Virtual Machine", "GC", "Detailed"}	Unmapping of memory	TRUE
jdk.BooleanFlag	{"Java Virtual Machine", "Flag"}		FALSE
jdk.CPUInformation	{"Operating System", "Processor"}		FALSE
jdk.CPULoad	{"Operating System", "Processor"}	OS CPU Load	FALSE
jdk.CPUTimeStampCounter	{"Operating System", "Processor"}		FALSE
jdk.ClassLoaderStatistics	{"Java Application", "Statistics"}		FALSE
jdk.ClassLoadingStatistics	{"Java Application", "Statistics"}		FALSE
jdk.CodeCacheConfiguration	{"Java Virtual Machine", "Code Cache"}		FALSE
jdk.CodeCacheStatistics	{"Java Virtual Machine", "Code Cache"}		FALSE
jdk.CodeSweeperConfiguration	{"Java Virtual Machine", "Code Sweeper"}		FALSE
jdk.CodeSweeperStatistics	{"Java Virtual Machine", "Code Sweeper"}		FALSE
"jdk.CompilerConfiguration"	{"Java Virtual Machine", "Compiler"}		FALSE
jdk.CompilerStatistics	{"Java Virtual Machine", "Compiler"}		FALSE
jdk.ContainerCPUThrottling	{"Operating System", "Processor"}	Container CPU throttling related information	FALSE
jdk.ContainerCPUUsage	{"Operating System", "Processor"}	Container CPU usage related information	FALSE
jdk.ContainerConfiguration	Operating System	A set of container specific attributes	FALSE
jdk.ContainerIOUsage	{"Operating System", "File System"}	Container IO usage related information	FALSE
jdk.ContainerMemoryUsage	{"Operating System", "Memory"}	Container memory usage related information	FALSE
jdk.DirectBufferStatistics	{"Java Application", "Statistics"}	Statistics of direct buffer	FALSE
jdk.DoubleFlag	{"Java Virtual Machine", "Flag"}		FALSE
jdk.EvacuationInformation	{"Java Virtual Machine", "GC", "Detailed"}		FALSE
jdk.ExceptionStatistics	{"Java Application", "Statistics"}	Number of objects derived from java.lang.Throwable that have been created	FALSE
jdk.ExecutionSample	{"Java Virtual Machine", "Profiling"}	Snapshot of a threads state	FALSE
jdk.G1AdaptiveIHOP	{"Java Virtual Machine", "GC", "Detailed"}	Statistics related to current adaptive IHOP calculation	FALSE
jdk.G1BasicIHOP	{"Java Virtual Machine", "GC", "Detailed"}	Basic statistics related to current IHOP calculation	FALSE
jdk.G1EvacuationOldStatistics	{"Java Virtual Machine", "GC", "Detailed"}	Memory related evacuation statistics during GC for the old generation	FALSE
jdk.G1EvacuationYoungStatistics	{"Java Virtual Machine", "GC", "Detailed"}	Memory related evacuation statistics during GC for the young generation	FALSE
jdk.G1GarbageCollection	{"Java Virtual Machine", "GC", "Collector"}	Extra information specific to G1 Young Garbage Collections	FALSE
