Name,Category,Description
jdk.GarbageCollection,"{""Java Virtual Machine"", ""GC"", ""Collector""}",Garbage collection performed by the JVM
jdk.HeapDump,"{""Java Virtual Machine"", ""Diagnostics""}",
jdk.InitialEnvironmentVariable,Operating System,
jdk.InitialSystemProperty,Java Virtual Machine,System Property at JVM start
jdk.IntFlag,"{""Java Virtual Machine"", ""Flag""}",
jdk.IntFlagChanged,"{""Java Virtual Machine"", ""Flag""}",
jdk.JVMInformation,Java Virtual Machine,Description of JVM and the Java application
jdk.JavaErrorThrow,Java Application,An object derived from java.lang.Error has been created. OutOfMemoryErrors are ignored
jdk.JavaExceptionThrow,Java Application,An object derived from java.lang.Exception has been created
jdk.JavaMonitorEnter,Java Application,
jdk.JavaMonitorInflate,Java Application,Java Monitor Inflated
jdk.JavaMonitorWai,Java Application,Waiting on a Java monitor
jdk.JavaThreadStatistics,"{""Java Application"", ""Statistics""}",
jdk.LoaderConstraintsTableStatistics,"{""Java Virtual Machine"", ""Runtime"", ""Tables""}",
jdk.LongFlag,"{""Java Virtual Machine"", ""Flag""}",
jdk.LongFlagChanged,"{""Java Virtual Machine"", ""Flag""}",
jdk.MetaspaceAllocationFailure,"{""Java Virtual Machine"", ""GC"", ""Metaspace""}",
jdk.MetaspaceChunkFreeListSummary,"{""Java Virtual Machine"", ""GC"", ""Metaspace""}",
jdk.MetaspaceGCThreshold,"{""Java Virtual Machine"", ""GC"", ""Metaspace""}",
jdk.MetaspaceOOM,"{""Java Virtual Machine"", ""GC"", ""Metaspace""}",Metaspace Out of Memory
jdk.MetaspaceSummary,"{""Java Virtual Machine"", ""GC"", ""Heap""}",Metaspace Summary
jdk.ModuleExport,"{""Java Virtual Machine"", ""Runtime"", ""Modules""}",
jdk.ModuleRequire,"{""Java Virtual Machine"", ""Runtime"", ""Modules""}",A directed edge representing a dependency
jdk.NativeLibrary,"{""Java Virtual Machine"", ""Runtime""}",
jdk.NativeMethodSample,"{""Java Virtual Machine"", ""Profiling""}",Snapshot of a threads state when in native
jdk.NetworkUtilization,"{""Operating System"", ""Network""}",
jdk.OSInformation,Operating System,
jdk.ObjectAllocationInNewTLAB,Java Application,Allocation in new Thread Local Allocation Buffer
jdk.ObjectAllocationOutsideTLAB,Java Application,Allocation outside Thread Local Allocation Buffers
jdk.ObjectAllocationSample,Java Application,
jdk.ObjectCount,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",
jdk.ObjectCountAfterGC,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",
jdk.OldGarbageCollection,"{""Java Virtual Machine"", ""GC"", ""Collector""}",Extra information specific to Old Garbage Collections
jdk.OldObjectSample,"{""Java Virtual Machine"", ""Profiling""}",A potential memory leak
